［受付年月日］,［契約当事者年齢］,［契約当事者性別等］,［契約当事者地域］,［超大分類］,［商品・役務名］,［件名］,［相談概要］,［契約・申込の有無］,［契約購入年月日］,［販売購入形態］,［決済・販売方法］,［信用供与の有無］,［信用供与の有無詳細］,［支払手段］,［契約購入金額］,［内容別分類］,［内容等ＫＷ］,［処理結果概要］,［救済金額］,［救済金額の内容］
2023年9月14日,88歳,1.男,201.奈良市,2.役務,クレジットカード,カード会社のＤＭに、公共料金をクレジット払いにすると公共料金の種類ごとにポイントが貰えると記載があったが実際は異なった。,カード会社のＤＭに、「電気、ガス、水道、携帯電話、家賃の公共料金をクレジット払いにすると、公共料金のカテゴリーごとに１５００円分の電子マネーポイントが貰える」という記載があった。しかし、実際は公共料金の取引業者ごとのポイント付与であった。私は電気とガスを一つの業者にまとめて契約しているので、２つのカテゴリーであるが、１５００円分のポイントしか加算されなかった。業者の広告が誤解を招く表示になっている。センターから苦情を伝えて欲しい。,1.既に契約・申込した,,0.店舗購入,,2.販売信用,205.２か月内払い,,,06.表示・広告,ﾋﾖｳｼﾞ@　ﾃﾞｲｴﾑｺｳｺｸ　ｺﾞｶｲ･ｶﾝﾁｶﾞｲ　ﾎﾟｲﾝﾄｻｰﾋﾞｽ,センターで相談者の持参した広告と、ホームページの記載を確認した。業者の客相に架電し、相談者の苦情内容と、「カテゴリーごとにポイントが付与される表示が強調されているが、取引加盟店ごとであるという打消し表示が小さいため、消費者に誤解を与えかねない表示である」ということを伝えた。業者は「苦情として受け止め社内検討する」とのことであった。,,
2023年9月13日,,1.男,201.奈良市,2.役務,プロバイダーサービス,プロバイダーの利用料が高いので、別の業者に乗り換えたところ、違約金３３，３３０円と乗換手数料３，９６０円を請求された。,夫が５年前に通信販売で契約したプロバイダーの料金が高いので、先月、別の会社に乗り換えることにし、切り替えを完了した。乗り換えに伴い、これまで利用していた会社から違約金３３，３３０円と、事業者変更手数料３，９６０円を請求された。規約を確認し「違約金３０，０００円」は確認できたが、違約金が３，３３０円高い。事務手数料がかかるとは記載がなかった。違約金は口座振替で、事業者変更手数料はコンビニ支払で払うことになっている。騙されているような気がしており、請求額が正しいか確認してほしい。,1.既に契約・申込した,2018,2.通信販売,,1.無,101.即時払,,"37,290円",04.価格・料金　08.契約・解約,ｷﾔｸ･ﾔﾂｶﾝ　ﾃｽｳﾘﾖｳ　ｶｲﾔｸ@　ｹｲﾔｸｼﾖ･ｼﾖﾒﾝ@　ﾌﾄｳｾｲｷﾕｳ@　ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ｾﾂﾒｲﾌﾞｿｸ　ｹｲｻﾞｲｾｲ　ｺｳｶｶｸ･ﾘﾖｳｷﾝ,規約を確認したところ、「違約金３０，０００円（税別）、口座振替手数料３００円（税別）」であり、この税込み合計が３３，３３０円であった。また、乗り換えに伴い「事業者変更手数料３，０００円（税別）」が必要で、これに事務手数料等で６６０円が加わり３，９６０円になっていた。相談者に規約の内容を説明したところ、納得し相談を終了した。,,
2023年9月13日,46歳,1.男,201.奈良市,2.役務,キャッシュレス決済,キャッシュレス決済のアプリを利用しているが、身に覚えのない９０，０００円の請求が来ている。支払いたくない。,キャッシュレス決済のアプリを利用している。昨日、キャッシュレス決済の利用メールが届いたのでアプリを確認したところ、１か月前に整体院を利用し９０，０００円を決済した履歴が記録されていた。該当の整体院も知らないし、利用したこともない。キャッシュレス決済の運用会社やクレジットカード会社に連絡したが、「整体院に請求を取り消すよう伝えてほしい」と言われた。整体院の連絡先もわからない。支払いたくないので、対応方法を教えてほしい。,1.既に契約・申込した,2023年8月20日,9.不明・無関係,,4.不明・無関係,,5.プリペイド式電子マネー,"90,000円",08.契約・解約,ｺｰﾄﾞｹﾂｻｲ　ｶｸｳｾｲｷﾕｳ　ｼﾝﾖｳｾｲ　ﾒｲｷﾞﾎﾞｳﾖｳ,センターより請求元の整体院に確認したところ「当方も該当の売り上げについて覚えが無く、キャッシュレス決済業者に問い合わせ中である」と説明があった。請求元、請求先の双方で覚えが無い決済が発生しており、センターからキャッシュレス決済業者に対応を依頼した。その結果、相談者への請求取消処理を行うことで解決した。なお、今回の発生原因については、引き続きキャッシュレス決済業者で調査中である。,"90,000円",01.回復額
2023年9月13日,77歳,2.女,201.奈良市,2.役務,駆除サービス,夜間自宅の屋根裏で小動物が走り回ったり木をかじったりする音が聞こえる。信頼できる業者に、駆除して進入路をふさいでほしい。,,2.まだ契約・申込していない,,9.不明・無関係,,4.不明・無関係,,,,12.買物相談,ｼﾝﾖｳｾｲ,センターは特定の事業者を紹介できないことを断った上で、相談者が長年付き合いのある屋根業者に相談し、工務店に依頼してはどうかと伝えた。また、相談窓口として、ペストコントロール協会を案内した。,,
2023年9月13日,46歳,1.男,201.奈良市,1.商品,古本、ＤＶＤ,１０日程前ネット通販で格安の古本とＤＶＤを注文し代金を振り込んだが、商品が届かず業者と連絡が取れない。返金してほしい。,１０日程前、インターネット検索して見つけたサイトで、欲しい古本とＤＶＤが１万９０００円のところ、８０００円に値引きされていたので注文した。指定された個人名義の口座に代金を振り込んだが、商品が届かず、メールの返信もなかった。サイトに記載の電話番号は、使用されていない番号だった。ネットで業者名を調べると、公式サイトに偽サイトの注意喚起情報が載っていた。現在、サイトにはアクセスできない状況だ。騙されたと思うので、返金してほしい。,1.既に契約・申込した,2023年9月3日,2.通信販売,,1.無,101.即時払,,"8,000円",06.表示・広告　08.契約・解約,ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ﾈｻｹﾞ　ｼﾖｳﾋﾝﾐﾁﾔｸ　ｼﾖｻﾞｲﾌﾒｲ　ﾆｾｻｲﾄ　ﾍﾝｷﾝ,詐欺的通販サイトの同種事例を情報提供した。振り込め詐欺救済法に基づいて被害回復できる場合があることを説明し、振込先金融機関と警察に相談するよう伝えた。翌日相談者より、「金融機関に被害申告した。昨日、サイトから『商品を用意できなかったので返金する。無料通話アプリのアカウントを教えるので連絡してほしい』と片言の日本語で電話がかかってきた。どうしたらいいか」と再相談があった。口座情報を伝えて送金してもらう方法と、現金書留で返金してもらう方法のメリットとリスクを説明した上で、電話かＳＭＳで連絡を取ってみてはどうかと伝えた。,,
2023年9月13日,60歳,2.女,201.奈良市,1.商品,ワンピース、スカート,通販サイトで購入したワンピースとスカートのプリーツ部分が、写真のイメージと違った。縫製ミスなので返品して返金してほしい。,半月程前、ネット通販でワンピースやセットアップなど数点注文し、代金１万２４０円はクレジットカードで支払った。届いた商品を確認したら、プリーツのデザインが特徴的なワンピースとスカートの縫製がおかしく、写真とイメージが違った。サイトに写真を添付して返品・返金を求めるメールを送ったところ、「工場の確認ミス。５０００円分のクーポンを送る」と返信があった。今後利用するつもりはないので、再度返金を求めると、「返金する。ハサミで裁断した商品写真を送ってほしい」と返信があった。返送料を負担するので、返品して返金してほしい。,1.既に契約・申込した,2023年8月29日,2.通信販売,ＫＩＰＳカード,2.販売信用,205.２か月内払い,,"10,240円",02.品質・機能、役務品質,ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ﾎｳｾｲ　ｲﾒｰｼﾞﾁｶﾞｲ　ﾍﾝﾋﾟﾝ　ﾍﾝｷﾝ　ｸﾚｰﾑｼﾖﾘ,サイトに、「苦情品を確認してもらう意味でも返品して、返金してほしい。返送先と清算方法を教えてほしい」とメールを送り回答を待つよう伝えた。そして、サイトの商品ページやメールのやり取りなど、証拠として保存しておくよう付言した。後日、相談者に経過確認したところ、「サイトに返品を求めたが、『税関を通すため無事に届くか分からないので、そちらで処分してほしい』と応じられなかった。指示通り裁断した商品写真をメールで送ったところ、『返金処理した』と連絡があった」とのことだった。カードの明細を確認するよう伝え、相談終了とした。,,
2023年9月13日,46歳,1.男,201.奈良市,1.商品,カーコート剤,１週間程前大手通販サイトで車のコーティング剤を注文した。販売店から発送メールが届いたが商品が届かず、電話も繋がらない。,１週間程前、大手通販サイトで車のコーティング剤を注文した。２日前、販売店から商品発送メールが来て、サイトの注文履歴では「配送済み」の状態になっていたが、商品が届かなかった。配送業者に問い合わせると、荷物を預かった記録がないとのことだった。販売店の電話が繋がらなかったので、プラットフォーマーにメールで苦情を伝えた。商品を受け取れないまま、代金１万８００円のコンビニ後払い用紙が届いたが、支払わなければいけないか。,1.既に契約・申込した,2023年9月7日,2.通信販売,ＮＰ後払い,2.販売信用,205.２か月内払い,,"10,800円",08.契約・解約,ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ｼﾖｳﾋﾝﾐﾁﾔｸ　ﾚﾝﾗｸﾌﾉｳ　ｱﾄﾊﾞﾗｲｹﾂｻｲ　ｸﾚｰﾑｼﾖﾘ,販売店にメールで問い合わせ、期日まで支払わずに様子をみるよう伝えた。今後、販売店と連絡が取れず、商品も届かないようであれば、後払い決済業者に一報入れておき、プラットフォーマーに協力を求めるよう付言した。その後相談者と連絡が取れず、相談終了とした。,,
2023年9月13日,,2.女,201.奈良市,1.商品,ブレスレット,ＳＮＳ広告を見てブランドの公式サイトと思い格安のブレスレットを注文したら、税関で止められ偽物と分かった。返金してほしい。,大学生の娘が、ＳＮＳの広告を見て、ジュエリーブランドの公式サイトと思い、８５％オフのブレスレットを注文した。代金７９９６円の支払いを頼まれ、私のクレジットカードで決済した。その後、サイトを確認すると、一部中国語表記だったのでおかしいと感じ、キャンセルメールを送った。翌日、サイトから英語で「一度注文したものはキャンセルできない」という内容のメールが届いた。先日、税関から「模倣品のブレスレットのため輸入できない」と通知する封書が届き、偽物と分かった。サイトは閉鎖されていて、連絡も取れない状況だ。商品を受け取れなくなったので、返金してほしい。,1.既に契約・申込した,2023年8月19日,2.通信販売,,2.販売信用,205.２か月内払い,,"7,996円",02.品質・機能、役務品質　06.表示・広告　08.契約・解約,SNS　ﾃﾞﾝｼｺｳｺｸ　ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ﾆｾｻｲﾄ　ﾈｻｹﾞ　ﾁﾕｳｺﾞｸ　ｶｲﾔｸ@　ﾆｾﾓﾉ　ｼﾖｳﾋﾝﾐﾁﾔｸ　ｼﾖｻﾞｲﾌﾒｲ　ﾍﾝｷﾝ,センターからカード会社に連絡し、相談者がカード会社宛てに経緯書を送付後、チャージバック申請された。後日、カード会社から相談者の口座に７９９６円返金されたのを確認し、相談終了とした。,"7,996円",01.回復額
2023年9月13日,55歳,2.女,201.奈良市,2.役務,ヘアカラーチケット,美容院でお得と勧められ、ヘアカラー１０回分の回数券を購入した。店に未利用分の返金を求めたが、応じてもらえなかった。,美容院で「２枚買えば、さらに１回あたりのヘアカラー代がお得になる」と勧められ、５回分の回数券を２枚購入し、２万円程支払った。しかし、最近担当の美容師が辞めたり、カラー後に耳の中に薬剤が残っていたことがあり、この店を利用したくなくなった。１枚目の回数券は使い切り、２枚目の回数券の４回分が残っている。店に未利用分の返金を求めたら、「回数券の返金はできない。他の支店で使用してほしい」と言われた。回数券には、「返金不可」と記載されている。,1.既に契約・申込した,,0.店舗購入,,1.無,104.他の前払式,,"20,000円",08.契約・解約,ｶｲｽｳｹﾝ　ｹｲｻﾞｲｾｲ　ﾍﾝｷﾝ　ｷﾔｸ･ﾔﾂｶﾝ　ｾｼﾞﾕﾂﾌﾘﾖｳ,原則として規約に則るため、返金には店の了承が必要になることを説明した。他の店舗で使用でき、これまで割安な料金で施術を受けられたことから、「返金不可」の規約が不当と言い難いことも伝えた。相談者は、「他の店舗で使用する」とのことだった。,,
2023年9月12日,82歳,1.男,201.奈良市,1.商品,電気,２か月ぐらい前から、自宅の台所の電気が使えなくなった。他の部屋は使えている。どこに連絡したらいいか、教えてほしい。,２か月ぐらい前から、１階にある台所で電気が全く使えなくなった。自宅は２階建てであるが、２階や１階の他の部屋の電気は使えている。ブレーカーを確認したところ赤いランプが点灯している。電力会社に連絡したが、うまく伝わらなかった。どこに相談したらいいか困っている。,1.既に契約・申込した,,0.店舗購入,,4.不明・無関係,,,,02.品質・機能、役務品質　09.接客対応,ｷﾉｳｺｼﾖｳ　ｱﾌﾀｰｻｰﾋﾞｽ　ﾅﾝｶｲ,センターから電力会社に状況を伝えたところ、漏電の可能性もあるため、至急現場を確認してもらうことになった。その後、相談者から連絡は無く、相談を終了することとした。,,
2023年9月12日,50歳,1.男,201.奈良市,2.役務,屋根の雨漏りの修理,雨漏りがするので母親が業者に点検を依頼したところ、説明もなくチェーンソーで天井を開けられた。解約したい。,雨漏りがするので、母親が６年前に外壁の塗装工事をした業者に点検を依頼をした。２日前に業者が来て、充分な確認もせず、いきなり２階の天井の一部をチェーンソーで切り取った。業者には「工事代金は６５万円程度になる。明後日、見積を出すので、その時に前金の２０万円を支払ってほしい」と言われた。工事の許可もしておらず、契約もしていないのに、天井を切り取り、前金を請求するのはおかしいと思う。本日夕方に業者が見積を持って来るが、前金を払うつもりはない。解約し、原状回復してほしい。,1.既に契約・申込した,2023年9月12日,1.訪問販売,,1.無,,,"650,000円",07.販売方法　08.契約・解約,ｶﾃｲﾎｳﾊﾝ　ｺﾞｳｲﾝ　ｾﾂﾒｲﾌﾞｿｸ　ﾐﾂﾓﾘ@　ｸｰﾘﾝｸﾞｵﾌ@　ｶｲﾔｸ@　ｱﾏﾓﾘ,「訪問販売にあたると思われるので、業者が来る前にクーリング・オフと原状回復を求めてはどうか」と伝えた。相談者が業者と交渉し、業者はクーリング・オフと原状回復を認め、後日、原状回復の相談を行うことになった。その後、相談者から連絡はなく、相談を終了した。,"650,000円",02.回復額（クーリング・オフ額）
2023年9月12日,57歳,1.男,201.奈良市,2.役務,トイレの水漏れ修理,水道局が指定した水道業者にトイレ修理を依頼。メーカーの作業員がパッキン交換したが、修理代１６５００円は高額すぎて不満。,数日前、水道局が指定した水道業者にトイレ修理を依頼した。トイレタンクから手洗い用の水が流れ続けていた。メーカーの作業員から「パッキン交換が必要になる。修理代は１３０００円から１９０００円程になる」と事前に説明を受けた。代金の説明を受けて作業をしてもらったが、パッキン交換は短時間で終了した。修理代１６５００円を求められたが、請求額が高額すぎるのではないか。,1.既に契約・申込した,2023年9月10日,0.店舗購入,,1.無,101.即時払,,"16,500円",01.安全・衛生　02.品質・機能、役務品質,ﾐｽﾞﾓﾚ　ﾐﾂﾓﾘ@　ｺｳｶｶｸ･ﾘﾖｳｷﾝ　ﾌﾄｳｾｲｷﾕｳ@　ｼﾕｳﾘﾀﾞｲ,センターで作業代金が適正かどうかの判断できないと説明し、納得できないのであれば、自主交渉で解決するしかないと助言した。,,
2023年9月12日,75歳,2.女,201.奈良市,2.役務,外壁塗装工事,３か月前訪販で外壁の塗装工事の契約をしたが、約束通り作業されなかった。しかし高額の作業代金を請求され支払いに不納得。,３か月前、給湯器の取替工事を契約し、その業者に「電気代が高くて困っている」と話した。すると後日、給湯器の契約先業者から、違う担当者が訪れた。「窓枠にシーリング工事をしなければ、そこから雨水が入り、それによって漏電する場合がある。早く作業しなければならない」などと指摘された。別居の息子に相談したかったが連絡が取れず、悩んでいるうちに担当者が家を見て回り、工事の見積書を出され、契約した。高額であったので家全部の窓枠のシーリング作業であると思っていたが、台所の窓枠のみ作業され、「工事完了したので後日代金を請求する」と言われた。作業内容に不満があることを伝えると、もう一つの窓にシーリング作業をされ、それで終了となった。どうしても作業内容に納得できず支払いを拒んでいる。今後業者から督促された時、どのように対処すればよいだろうか。解約したい。,1.既に契約・申込した,2023年6月1日,1.訪問販売,,1.無,101.即時払,,"495,000円",07.販売方法　08.契約・解約,ｶﾃｲﾎｳﾊﾝ　ｹｲﾔｸｼﾖ･ｼﾖﾒﾝ@　ﾔｸｿｸﾌﾘｺｳ　ﾌﾄｳｾｲｷﾕｳ@　ｶｲﾔｸ@　ﾓﾝﾀﾞｲｶﾝﾕｳ　ｺﾞｳｲﾝ　ｺｳｶｶｸ･ﾘﾖｳｷﾝ,センターで契約書面を確認したところ、工事内容の記載が「工事一式」「塗装一式」とのみ表示されていた。書面の不備を指摘し、クーリング・オフしてはどうかと助言した。相談者は、クーリング・オフ通知を業者に送付した。後日業者からセンターに連絡があり、「不備書面としてクーリング・オフを受ける。請求はしない」とのことであった。相談者にその旨伝え、相談を終了とした。,"495,000円",02.回復額（クーリング・オフ額）
2023年9月12日,34歳,1.男,201.奈良市,1.商品,ブランドバックと財布,１週間前、ネット広告の格安ブランドバックと財布を注文し代引きで３１８００円を支払ったが偽物だった。解約し返金してほしい。,１週間前、ネット広告に定価の半額以下で人気のブランドバックと財布が販売されていた。バックと財布をセットで注文し、本日、代引配達で３１８００円を支払った。購入したバックと財布を買い取り業者に見せたところ、「規格外商品です」と言われた。偽ブランド品だったので、解約し返金してほしい。しかし、ネット広告は削除しており、販売業者の情報がなく交渉先が分からない。,1.既に契約・申込した,2023年9月5日,2.通信販売,,1.無,101.即時払,,"31,800円",06.表示・広告　08.契約・解約,ﾃﾞﾝｼｺｳｺｸ　ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ﾈｻｹﾞ　ﾀﾞｲﾋﾞｷﾊｲﾀﾂ　ﾆｾﾓﾉ　ﾍﾝｷﾝ　ﾍﾝﾋﾟﾝ　ｼﾖｻﾞｲﾌﾒｲ,同種事例を情報提供した。代引き配達業者からの返金は望めないと説明し、配送業者に事情を伝え協力を求めることを勧めた。後刻、相談者から「サイトのメルアドに連絡したが返事がない」と報告があった。,,
2023年9月12日,50歳,2.女,201.奈良市,1.商品,顔パック,２か月前ネットでお試しの顔パックを注文し、３回目以降解約したが商品が届いた。業者は誤送を認め返金に応じたが返金されない。,２か月前ネットでお試しの顔パックを注文し、３回目以降解約したが商品が届き、代金８８００円の請求を受けた。メールで苦情を伝えると業者から「誤送を認める。クレジットカードの請求を取り消す」と返信が来た。しかしクレジットカードには３回目の商品代金８８００円の請求が上がったままであり、引落しとなった。業者にメールで問い合わせているが返事が無い。電話も繋がらない。対処法を知りたい。,1.既に契約・申込した,2023,2.通信販売,,2.販売信用,205.２か月内払い,,"8,800円",08.契約・解約　09.接客対応,ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ﾃｲｷｺｳﾆﾕｳ　ｶｲﾔｸ@　ﾔｸｿｸﾌﾘｺｳ　ﾊｲｿｳﾐｽ　ﾍﾝｷﾝ　ﾚﾝﾗｸﾌﾉｳ　ｸﾚｰﾑｼﾖﾘ,クレジットカード会社に事情を説明し、調査依頼するよう助言した。その後相談者と連絡取れず終了した。,,
2023年9月12日,98歳,2.女,201.奈良市,1.商品,積立金,１８年前呉服店で月額３０００円を１０か月積み立てた。最近、返金を求めたが、ネックレスに交換済みと言われた。納得できない。,１８年前、呉服店で勧められ月額３０００円を１０か月間積立した。通帳があればいつでも交換できると説明されていたので、今まで放置してしまった。当時の販売店はすでになく、最近、系列の販売店に積立金３万円の返金を求めたが、「以前にネックレスに交換している」と言われた。ネックレスを受取った覚えがなく納得できない。,1.既に契約・申込した,2008,0.店舗購入,,1.無,104.他の前払式,,"30,000円",08.契約・解約　09.接客対応,ﾍﾝｷﾝ　ﾔｸｿｸﾌﾘｺｳ　ｸﾚｰﾑｼﾖﾘ　ﾁﾖｳｷｹｲﾔｸ,センターへの来所を勧めたが、相談者は来ず終了した。,,
2023年9月12日,61歳,1.男,201.奈良市,1.商品,レンジフード、浴室乾燥機、ガスコンロ,ガス給湯器の点検業者とレンジフードなど設備の取付工事を契約。取付完了後、代金が相場より高額であると知り、支払いに不納得。,ガス給湯器の点検に訪れた業者に提案され、ガスコンロ、レンジフードと浴室乾燥機の取付工事を契約した。契約書面も受け取り、内容には全て納得していた。しかし工事完了後、知人と話をしていて、今回の契約金額が相場より高額であると知った。設備は問題なく使用している。高額すぎる代金を支払う必要はあるのだろうか。,1.既に契約・申込した,202308,1.訪問販売,,1.無,101.即時払,,,07.販売方法　08.契約・解約,ｺｳｶｶｸ･ﾘﾖｳｷﾝ　ﾌﾄｳｾｲｷﾕｳ@　ｶﾃｲﾎｳﾊﾝ　ｹｲﾔｸｼﾖ･ｼﾖﾒﾝ@　ﾃﾝｹﾝｼﾖｳﾎｳ,センターでは金額の多寡の判断はできないことを説明したうえで、契約内容に問題が無ければ、代金の支払い義務があることを伝えた。,,
2023年9月12日,45歳,2.女,201.奈良市,2.役務,歯科治療,半年治療に通い、入歯を作る予定であったが、歯茎に問題があるとして急遽取りやめとなった。レントゲンのコピーももらえず不満。,半年歯科治療に通い、入歯を作る予定であったが先日、「歯茎に問題があるので当院での治療は終了する」と言われた。十分な説明が無く、他院に移るために必要なレントゲンのコピーももらえず不満だ。,1.既に契約・申込した,,0.店舗購入,,4.不明・無関係,,,,08.契約・解約,ﾔｸｿｸﾌﾘｺｳ　ｾﾂﾒｲﾌﾞｿｸ,レントゲンのコピーを渡すことは業者の裁量であり、義務では無いことを説明した。しかし、医師には治療内容の説明義務はあるので、歯の状態や、入歯が作れない理由を納得するまで説明してもらってはどうかと伝えた。,,
2023年9月11日,51歳,2.女,201.奈良市,2.役務,インターネット活用サポート,電話勧誘で、起業のためのインターネット活用サポートを８５万円で申し込んだ。当初の説明内容と異なるので返金希望。,起業ため、インターネットの活用サポートをコンサルタントに相談した。業者から電話があり、その後コンサルタントとｗｅｂ会議ツールで面談した。「インターネット活用の教材を渡す。コンサルタントへの相談は、ｗｅｂを使っていつでも可能。２年間の間に成果が出なければ、全額返金する」と説明された。１年契約、８５万円のサポー契約をして、指示された口座に振り込んだ。説明は全て電話やｗｅｂ会議で受け、契約関係の書類はない。その後、教材は届かず、コンサルタントへの相談は最初のｗｅｂ面談のみで、異業種交流の案内が来る程度である。当初の説明とは異なるので、返金してほしい。,1.既に契約・申込した,2023年7月20日,4.電話勧誘販売,,1.無,104.他の前払式,,"850,000円",07.販売方法　08.契約・解約,ﾃﾞﾝﾜｶﾝﾕｳ　ﾔｸｿｸﾌﾘｺｳ　ｶｲﾔｸ@　ﾍﾝｷﾝ　ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ｼﾖﾒﾝﾌｺｳﾌ　ｼﾞﾖｳﾎｳｼﾖｳｻﾞｲ　ｻｲﾄﾞﾋﾞｼﾞﾈｽｼﾖｳﾎｳ,相談者は８５万円の年間契約料を振込んだが、契約書は交わしておらず、契約締結はしていないと説明した。相談者にクーリング・オフ通知書を送付してもらったうえで、当センターから業者に不実告知と契約未締結による全額返金の交渉を行った。その後、相談者から「業者より直接連絡があり、最初の１か月はコンサルタントの面談を受けたので、１１カ月分を返金してもらうことで合意した」と報告があった。相談者が返金を確認できたため、相談を終了した。,"779,166円",01.回復額
2023年9月11日,81歳,1.男,201.奈良市,1.商品,ソフトウェア,全く身に覚えのない「購入のお礼」と「ご請求」のメールが届いている。対処方法を教えてほしい。,パソコンに「購入の御礼。ご請求」といったタイトルのメールが届いた。メールを開封するのが怖いので、そのままにしている。タイトルから確認できるのは、ネット通販でパソコンのソフトを購入した内容と思われるが、そのような注文をしたことがない。届いたメールに対してどう対応したらいいか、教えてほしい。なお、お金は支払っていない。,1.既に契約・申込した,,2.通信販売,,4.不明・無関係,,,,08.契約・解約,ｶｸｳｾｲｷﾕｳ　ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ﾒｲﾜｸﾒｰﾙ,架空請求詐欺の手口について相談者に説明した。相談者はメールを開封しておらず、購入先や購入内容が不明であったが、メールのタイトルから「ドライバソフトウェアの購入」と思われた。相談者のパソコンの利用状況から判断すると、購入の可能性は少なく、身に覚えが無い請求であった。「メールの内容に心当たりが無ければ、架空請求メールの可能性が高いので、該当のメールを無視し、新たな請求などがあれば、改めて相談するように」と伝えた。その後、相談者から連絡は無く、相談を終了することとした。,,
2023年9月11日,13歳,1.男,201.奈良市,1.商品,名義冒用による商品注文,知らない人が息子の名前を使って、商品を注文しているようだ。請求の督促電話が息子の携帯に頻繁に来ており、止めさせたい。,今年の４月以降、知らない人が息子の名前と携帯電話番号を利用して、色々な業者に勝手に商品を注文しているようだ。こちらには商品も請求書も届いておらず、業者から息子宛に請求の督促電話だけが来る。その度に、業者に事情を説明し、請求の取り消しと今後の注文受付拒否をしてもらっている。一度、息子の携帯電話番号を変えたが、再び発生している。警察に相談したが、「実害が発生していないため対応できない」と言われた。名義冒用されないようにしたい。,1.既に契約・申込した,202304,9.不明・無関係,,4.不明・無関係,,,,08.契約・解約,ﾌﾄｳｾｲｷﾕｳ@　ﾒｲｷﾞﾎﾞｳﾖｳ　ｺｼﾞﾝｼﾞﾖｳﾎｳ,被害が発生してから、一度、息子の携帯電話番号を変更しているが、その後も同様の被害が続いた。「嫌がらせの可能性もあるが、請求があった業者に名義冒用されたと連絡し続けるとともに、再び携帯の電話番号を変更するしかないのでは」と伝えた。「変更後の携帯電話番号は、極力他人に伝えないように」と助言した。その後、相談者から連絡が無く、相談を終了した。,,
2023年9月11日,,2.女,201.奈良市,1.商品,新聞,新聞の購読料を口座振替で支払っており、２か月前から５００円値上がりした。説明も無く値上げするのはおかしい。,約１年前、訪販で新聞の購読を継続した際、購読料４，４００円を集金から口座振替に変更した。最近、通帳記入をして気づいたが、２か月前から購読料が５００円値上げされ、４，９００円になっていた。値上げの連絡なしに勝手に契約が変更されていると思い、販売店に確認したところ、「数か月前に値上げ説明のチラシを数回入れています。紙面上にも値上げの表示をしています」と説明があった。今の社会情勢を考えると値上げは仕方がないと思うが、もう少し丁寧な説明があってもいいのではないか。,1.既に契約・申込した,,1.訪問販売,,1.無,101.即時払,,"4,900円",06.表示・広告　08.契約・解約,ﾈｱｹﾞ　ｵﾘｺﾐｺｳｺｸ　ｾﾂﾒｲﾌﾞｿｸ　ｶｶｸ･ﾘﾖｳｷﾝ@　ｶﾃｲﾎｳﾊﾝ,相談者は値上げについて理解していたが、口頭で連絡が無かったことに不満を持っていた。「新聞の料金改定は折り込みチラシや新聞紙面での告知で問題は無いと思われる。契約書に、料金改定があれば、改定後の金額になる変更になる旨の記載がある」と説明し、納得を得た。その後、相談者から連絡は無く、相談を終了することとした。,,
2023年9月11日,82歳,2.女,201.奈良市,1.商品,養毛剤,先月末に通販業者から注文していない養毛剤が届いた。業者に電話が繋がらないまま返品したら返送されてきた。返品したい。,先月末に通販業者から注文していない定期購入の養毛剤が届いた。すぐに業者に電話をしたが繋がらず、返品希望と書いた手紙を同封し着払いで返品した。ところが、宅配業者に留め置きになり、昨日返送されてきた。私は毛量は多い方で育毛剤を注文するはずがない。業者から返送されてきた養毛剤は不要なので返品したい。,1.既に契約・申込した,2023年8月21日,2.通信販売,後払い．ＣＯＭ,2.販売信用,205.２か月内払い,,"2,200円",08.契約・解約,ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ﾈｶﾞﾃｲﾌﾞｵﾌﾟｼﾖﾝ　ﾍﾝﾋﾟﾝ　ﾃｲｷｺｳﾆﾕｳ　ｱﾄﾊﾞﾗｲｹﾂｻｲ,センターから業者に連絡した。業者から「事前承諾のない商品の返品は受けとらない。相談者は一月前に注文した履歴があり、契約内容をＳＭＳで送っている」とのことだった。相談者のスマホを確認したところ、ＳＭＳを受信していた。しかし、相談者が、フィッシング対策でＳＭＳの受信を拒否していたため、ＳＭＳを確認できなかったと分かった。その後、業者から「使用後に初回返品制度を適用できる」と案内されたが、相談者は望まず、初回のみ買い取り、２回目以降は解約した。,,
